Date,Close
5/3/2017,46.28
5/4/2017,46.02
5/5/2017,46.95
5/8/2017,46.83
5/9/2017,46.34
5/10/2017,46.78
5/11/2017,46.32
5/12/2017,46.02
5/15/2017,46.64
5/16/2017,46.46
5/17/2017,45.74
5/18/2017,45.96
5/19/2017,46.64
5/22/2017,46.68
5/23/2017,47.03
5/24/2017,46.97
5/25/2017,47.49
5/26/2017,47.73
5/30/2017,47.88
5/31/2017,47.7
6/1/2017,47.88
6/2/2017,48.06
6/5/2017,47.94
6/6/2017,47.73
6/7/2017,47.58
6/8/2017,48.18
6/9/2017,48.79
6/12/2017,48.96
6/13/2017,49.24
6/14/2017,48.91
6/15/2017,49
6/16/2017,49.4
6/19/2017,49.54
6/20/2017,49.05
6/21/2017,48.81
6/22/2017,49.32
6/23/2017,49.22
6/26/2017,49.23
6/27/2017,49.57
6/28/2017,50.43
6/29/2017,50.34
6/30/2017,50.38
7/3/2017,50.99
7/5/2017,50.8
7/6/2017,50.23
7/7/2017,50.53
7/10/2017,50.67
7/11/2017,50.39
7/12/2017,51.19
7/13/2017,51.3
7/14/2017,51.55
7/17/2017,51.14
7/18/2017,51.56
7/19/2017,51.81
7/20/2017,52.03
7/21/2017,52.11
7/24/2017,52.04
7/25/2017,51.98
7/26/2017,51.92
7/27/2017,51.14
7/28/2017,51.52
7/31/2017,51.54
8/1/2017,51.2
8/2/2017,51.32
8/3/2017,50.89
8/4/2017,50.76
8/7/2017,50.68
8/8/2017,50.91
8/9/2017,50.73
8/10/2017,50.06
8/11/2017,50.11
8/14/2017,50.36
8/15/2017,50.34
8/16/2017,50.61
8/17/2017,50.25
8/18/2017,50.65
8/21/2017,51.24
8/22/2017,51.15
8/23/2017,51.48
8/24/2017,51.75
8/25/2017,51.94
8/28/2017,51.72
8/29/2017,51.66
8/30/2017,51.37
8/31/2017,53.61
9/1/2017,54.5
9/5/2017,54.07
9/6/2017,54.45
9/7/2017,54.66
9/8/2017,54.47
9/11/2017,54.81
9/12/2017,54.77
9/13/2017,55.05
9/14/2017,55.23
9/15/2017,55.36
9/18/2017,54.9
9/19/2017,55.33
9/20/2017,55.59
9/21/2017,55.95
9/22/2017,56.06
9/25/2017,56.21
9/26/2017,56.05
9/27/2017,56.35
9/28/2017,56.46
9/29/2017,56.27
10/2/2017,56.95
10/3/2017,57.41
10/4/2017,57.28
10/5/2017,56.24
10/6/2017,56.16
10/9/2017,55.96
10/10/2017,56.8
10/11/2017,57.07
10/12/2017,56.95
10/13/2017,56.91
10/16/2017,56.75
10/17/2017,56.84
10/18/2017,57.33
10/19/2017,57.63
10/20/2017,56.82
10/23/2017,56.55
10/24/2017,56.71
10/25/2017,56.36
10/26/2017,56.37
10/27/2017,56.74
10/30/2017,56.8
10/31/2017,56.85
11/1/2017,56.87
11/2/2017,57.32
11/3/2017,57.42
11/6/2017,57.6
11/7/2017,57.48
11/8/2017,57.6
11/9/2017,57.57
11/10/2017,57.33
11/13/2017,57.17
11/14/2017,57.23
11/15/2017,57.1
11/16/2017,57.39
11/17/2017,57.63
11/20/2017,57.65
11/21/2017,58.08
11/22/2017,58.67
11/24/2017,58.38
11/27/2017,58.07
11/28/2017,58.02
11/29/2017,58.38
11/30/2017,56.94
12/1/2017,57.79
12/4/2017,57.81
12/5/2017,57.04
12/6/2017,56.6
12/7/2017,56.52
12/8/2017,56.63
12/11/2017,56.55
12/12/2017,56.57
12/13/2017,56.42
12/14/2017,56.2
12/15/2017,55.79
12/18/2017,56.34
12/19/2017,56.35
12/20/2017,56.5
12/21/2017,57.2
12/22/2017,57.37
12/26/2017,57.16
12/27/2017,57.97
12/28/2017,58.4
12/29/2017,58.58
1/2/2018,58.91
1/3/2018,59.17
1/4/2018,59.83
1/5/2018,60.35
1/8/2018,60.2
1/9/2018,59.35
1/10/2018,58.98
1/11/2018,58.82
1/12/2018,58.86
1/16/2018,59
1/17/2018,59.16
1/18/2018,59.37
1/19/2018,59.25
1/22/2018,59.72
1/23/2018,59.93
1/24/2018,60.02
1/25/2018,60.18
1/26/2018,60.12
1/29/2018,60.23
1/30/2018,60.55
1/31/2018,60.81
2/1/2018,60.8
2/2/2018,59.5
2/5/2018,57.19
2/6/2018,57.3
2/7/2018,57.06
2/8/2018,56.33
2/9/2018,56.22
2/12/2018,56.6
2/13/2018,56.73
2/14/2018,57.87
2/15/2018,58.29
2/16/2018,57.81
2/20/2018,57.36
2/21/2018,57.77
2/22/2018,57.61
2/23/2018,58.43
2/26/2018,58.85
2/27/2018,58.96
2/28/2018,57.97
3/1/2018,58.41
3/2/2018,57.89
3/5/2018,58.02
3/6/2018,58.67
3/7/2018,58.82
3/8/2018,58.84
3/9/2018,59.2
3/12/2018,58.98
3/13/2018,58.33
3/14/2018,58.5
3/15/2018,58.28
3/16/2018,58.03
3/19/2018,57.92
3/20/2018,58.36
3/21/2018,59.18
3/22/2018,57.93
3/23/2018,56.85
3/26/2018,57.09
3/27/2018,56.27
3/28/2018,56.1
3/29/2018,56.85
4/2/2018,56.24
4/3/2018,56.1
4/4/2018,56.05
4/5/2018,56.65
4/6/2018,55.87
4/9/2018,55.87
4/10/2018,56.19
4/11/2018,55.88
4/12/2018,55.83
4/13/2018,55.44
4/16/2018,55.49
4/17/2018,55.74
4/18/2018,55.41
4/19/2018,54.88
4/20/2018,55.04
4/23/2018,55.04
4/24/2018,55.39
4/25/2018,55.53
4/26/2018,56.01
4/27/2018,56.15
4/30/2018,56.15
5/1/2018,56.24
5/2/2018,56.51
5/3/2018,56.47
5/4/2018,56.69
5/7/2018,56.91
5/8/2018,56.77
5/9/2018,57.58
5/10/2018,58.27
5/11/2018,58.38
5/14/2018,58.62
5/15/2018,58.61
5/16/2018,59.08
5/17/2018,59.06
5/18/2018,58.67
5/21/2018,58.86
5/22/2018,59.19
5/23/2018,58.87
5/24/2018,58.83
5/25/2018,58.96
5/29/2018,57.94
5/30/2018,58.78
5/31/2018,58.39
6/1/2018,57.92
6/4/2018,58.09
6/5/2018,57.93
6/6/2018,58.2
6/7/2018,58.23
6/8/2018,58.16
6/11/2018,57.95
6/12/2018,58.17
6/13/2018,58.45
6/14/2018,58.19
6/15/2018,57.39
6/18/2018,57.64
6/19/2018,57.19
6/20/2018,57.66
6/21/2018,57.85
6/22/2018,57.98
6/25/2018,57.32
6/26/2018,57.48
6/27/2018,56.86
6/28/2018,57.11
6/29/2018,57.86
7/2/2018,57.42
7/3/2018,57.66
7/5/2018,57.63
7/6/2018,57.97
7/9/2018,57.86
7/10/2018,58.1
7/11/2018,57.56
7/12/2018,58.03
7/13/2018,57.69
7/16/2018,57.9
7/17/2018,57.71
7/18/2018,57.76
7/19/2018,57.52
7/20/2018,57.91
7/23/2018,57.77
7/24/2018,57.91
7/25/2018,59
7/26/2018,58.58
7/27/2018,58.78
7/30/2018,58.98
7/31/2018,59.18
8/1/2018,59.37
8/2/2018,59.25
8/3/2018,59.24
8/6/2018,59.29
8/7/2018,58.69
8/8/2018,59.27
8/9/2018,59.59
8/10/2018,58.97
8/13/2018,59.04
8/14/2018,59.79
8/15/2018,59.21
8/16/2018,59.52
8/17/2018,60.3
8/20/2018,60.37
8/21/2018,60.32
8/22/2018,60.67
8/23/2018,60.11
8/24/2018,60.25
8/27/2018,60.86
8/28/2018,61.06
8/29/2018,61.42
8/30/2018,60.8
8/31/2018,60.5
9/4/2018,59.77
9/5/2018,60.25
9/6/2018,60.55
9/7/2018,60.41
9/10/2018,60.34
9/11/2018,60.35
9/12/2018,60.48
9/13/2018,60.49
9/14/2018,60.54
9/17/2018,60.74
9/18/2018,61.38
9/19/2018,61.37
9/20/2018,61.82
9/21/2018,61.62
9/24/2018,61.34
9/25/2018,60.98
9/26/2018,60.88
9/27/2018,60.82
9/28/2018,60.8
10/1/2018,61.15
10/2/2018,60.45
10/3/2018,60.29
10/4/2018,59.72
10/5/2018,59.47
10/8/2018,59.2
10/9/2018,59.08
10/10/2018,58.03
10/11/2018,56.92
10/12/2018,56.99
10/15/2018,57.01
10/16/2018,57.82
10/17/2018,57.62
10/18/2018,56.82
10/19/2018,56.4
10/22/2018,56.11
10/23/2018,56.27
10/24/2018,55.49
10/25/2018,55.43
10/26/2018,55.19
10/29/2018,55.11
10/30/2018,55.55
10/31/2018,55.46
11/1/2018,55.49
11/2/2018,55.63
11/5/2018,55.84
11/6/2018,55.83
11/7/2018,55.99
11/8/2018,55.88
